Date,Adj Close
2007-04-23,19.853
2007-04-24,19.8524
2007-04-25,19.7465
2007-04-26,19.8399
2007-04-27,19.7067
2007-04-30,19.5723
2007-05-02,19.7464
2007-05-03,19.7331
2007-05-04,20.0112
2007-05-07,20.0913
2007-05-08,19.9847
2007-05-09,19.9584
2007-05-10,20.0239
2007-05-11,19.7315
2007-05-14,19.7581
2007-05-15,19.6921
2007-05-16,19.7059
2007-05-17,19.7857
2007-05-18,19.6522
2007-05-21,19.7448
2007-05-22,19.6383
2007-05-23,19.8366
2007-05-24,19.7838
2007-05-25,19.5041
2007-05-28,19.3715
2007-05-29,19.3841
2007-05-30,19.2773
2007-05-31,18.8527
2007-06-01,19.357
2007-06-04,19.3418
2007-06-05,19.3147
2007-06-06,19.354
2007-06-07,19.2326
2007-06-08,19.06
2007-06-11,19.0345
2007-06-12,19.1671
2007-06-13,19.4066
2007-06-14,19.8465
2007-06-15,20.2965
2007-06-20,21.0666
2007-06-21,21.0679
2007-06-22,20.548
2007-06-23,20.5614
2007-06-25,20.7202
2007-06-26,20.6684
2007-06-27,20.5358
2007-06-28,20.6947
2007-06-29,20.6155
2007-07-02,20.9078
2007-07-03,21.3469
2007-07-04,21.2932
2007-07-05,21.4248
2007-07-06,21.4237
2007-07-09,21.9803
2007-07-10,22.0062
2007-07-11,21.7679
2007-07-12,22.473
2007-07-13,22.4461
2007-07-16,22.8547
2007-07-17,22.9369
2007-07-18,23.2455
2007-07-19,22.8173
2007-07-20,22.8445
2007-07-23,22.8285
2007-07-24,22.9904
2007-07-25,22.7903
2007-07-26,22.4971
2007-07-27,21.291
2007-07-30,20.9829
2007-07-31,21.4213
2007-08-01,20.1889
2007-08-02,20.444
2007-08-03,20.6434
2007-08-06,20.352
2007-08-07,20.1652
2007-08-08,20.7933
2007-08-09,20.82
2007-08-10,19.738
2007-08-13,19.834
2007-08-14,20.0615
2007-08-15,19.193
2007-08-16,18.444
2007-08-17,17.989
2007-08-20,19.0884
2007-08-21,19.1657
2007-08-22,19.2588
2007-08-23,19.8338
2007-08-24,19.3529
2007-08-27,19.3256
2007-08-28,19.0874
2007-08-29,18.6876
2007-08-30,19.1267
2007-08-31,19.9673
2007-09-03,19.4435
2007-09-04,19.4045
2007-09-05,19.3368
2007-09-06,19.7235
2007-09-07,19.6962
2007-09-10,19.52
2007-09-11,19.5863
2007-09-12,19.7049
2007-09-13,19.7859
2007-09-14,20.1729
2007-09-17,19.8783
2007-09-19,19.7364
2007-09-20,19.5245
2007-09-21,19.1255
2007-09-26,19.5262
2007-09-27,20.2641
2007-09-28,20.1421
2007-09-29,20.3951
2007-10-01,20.5555
2007-10-02,21.1195
2007-10-03,21.4916
2007-10-04,21.1205
2007-10-05,21.3569
2007-10-08,21.7834
2007-10-09,21.5794
2007-10-11,21.8622
2007-10-12,21.1239
2007-10-15,21.4708
2007-10-16,21.5245
2007-10-17,21.1422
2007-10-18,21.1632
2007-10-19,21.1397
2007-10-22,20.3725
2007-10-23,20.6826
2007-10-24,20.4286
2007-10-25,21.071
2007-10-26,21.0988
2007-10-29,21.8071
2007-10-30,21.5668
2007-10-31,21.3808
2007-11-01,21.0709
2007-11-02,20.4127
2007-11-05,20.2933
2007-11-06,20.1058
2007-11-07,20.5159
2007-11-08,19.709
2007-11-09,20.083
2007-11-12,20.0356
2007-11-13,20.0103
2007-11-14,20.2549
2007-11-15,20.136
2007-11-16,19.8722
2007-11-19,19.9945
2007-11-20,19.8986
2007-11-21,19.2217
2007-11-22,19.4107
2007-11-23,19.1958
2007-11-26,19.7712
2007-11-27,19.5152
2007-11-28,19.436
2007-11-29,19.9955
2007-11-30,20.1719
2007-12-03,20.1663
2007-12-04,20.0712
2007-12-05,20.0579
2007-12-06,20.1697
2007-12-07,20.3941
2007-12-10,20.1269
2007-12-11,20.3026
2007-12-12,19.9151
2007-12-13,19.4189
2007-12-14,19.3505
2007-12-17,18.7888
2007-12-18,18.6308
2007-12-19,19.0292
2007-12-20,18.5588
2007-12-21,18.68
2007-12-24,18.9774
2007-12-25,18.9527
2007-12-26,19.0054
2007-12-27,19.5411
2007-12-28,19.8377
2007-12-31,19.9052
2008-01-02,19.204
2008-01-03,18.9336
2008-01-04,19.7778
2008-01-07,19.3289
2008-01-08,20.0257
2008-01-09,20.2405
2008-01-10,20.0257
2008-01-11,19.9453
2008-01-14,20.9653
2008-01-15,22.3924
2008-01-16,22.5682
2008-01-17,22.5573
2008-01-18,22.7037
2008-01-21,22.6479
2008-01-22,21.1137
2008-01-23,20.5376
2008-01-24,21.3536
2008-01-25,21.6471
2008-01-28,20.7112
2008-01-29,21.0764
2008-01-30,20.8444
2008-01-31,21.2232
2008-02-01,21.5536
2008-02-12,21.2693
2008-02-13,21.5095
2008-02-14,22.1839
2008-02-15,22.1454
2008-02-18,21.8628
2008-02-19,22.16
2008-02-20,21.4475
2008-02-21,22.251
2008-02-22,22.6089
2008-02-25,23.1355
2008-02-26,23.4967
2008-02-27,23.7803
2008-02-29,23.4824
2008-03-03,23.0286
2008-03-04,23.352
2008-03-05,23.1509
2008-03-06,23.3782
2008-03-07,22.7914
2008-03-10,21.8319
2008-03-11,22.3554
2008-03-12,22.5312
2008-03-13,22.0374
2008-03-14,21.8568
2008-03-17,21.7173
2008-03-18,21.6533
2008-03-19,22.3783
2008-03-20,23.5025
